service,use_case,run_id,valid,vus,iterations,http_reqs,checks_passes,checks_fails,application_ram_avg,application_ram_median,application_cpu_avg,application_cpu_median,application_energy,database_ram_avg,database_ram_median,database_cpu_avg,database_cpu_median,database_energy
go-pgx,no-pagination,1656106593,True,20,1231,801381,801381,0,54478485.403278686,54474752.0,0.06329511194402883,0.05393225708163425,33723588997.0,863284810.7243243,953495552.0,0.7336254576611257,0.9445506016807488,72216587589.0
go-pgx,no-pagination,1656107432,True,20,1228,799428,799428,0,60829299.17898194,61227008.0,0.0630075617141813,0.05442558411214953,33194094221.0,865072528.4546685,957898752.0,0.7290339755746978,0.9439421394014963,71396443543.0
go-pgx,no-pagination,1656108270,True,20,1237,805287,805287,0,58716299.86341464,59355136.0,0.06283066630670549,0.054257927674129354,33473338176.0,872979963.1892618,962392064.0,0.7384311976038592,0.9459856227722773,72315695999.0
go-pgx,no-pagination,1656109109,True,20,1234,803334,803334,0,63505696.05203252,63717376.0,0.06319347731730508,0.05458555661672909,33563531386.0,863410467.002681,949475328.0,0.7344116609441,0.9450899220815896,72445698159.0
go-pgx,no-pagination,1656109952,True,20,1222,795522,795522,0,64425950.481178395,64692224.0,0.06298614507470233,0.05431459788029925,32901275756.0,864323442.6630582,951422976.0,0.7282984361448873,0.943901516460396,62180631437.0
go-pgx,no-pagination,1656110791,True,20,1224,796824,796824,0,59791592.03940887,59334656.0,0.06283547719142134,0.05439341849782744,33113411633.0,856621548.627027,952772608.0,0.7326346323937696,0.9461796918340795,71944471195.0
go-pgx,no-pagination,1656111626,True,20,1233,802683,802683,0,66254178.71895425,66813952.0,0.06292063262519147,0.05463243602097193,33225734096.0,869291364.0539083,955508736.0,0.7354817382499506,0.944826954780577,72316625325.0
go-pgx,orm-loop,1656050641,True,20,1220,819840,819840,0,35773256.11861614,35528704.0,0.07225009572129198,0.06490379169787765,36328927568.0,849005126.7642276,934641664.0,0.7236110398876497,0.9392421263907684,80654361326.0
go-pgx,orm-loop,1656051481,True,20,1220,819840,819840,0,36308423.11111111,36341760.0,0.0726838363933918,0.0642392794667192,36699894383.0,852998806.2608696,943095808.0,0.7240336078168067,0.9383464355521445,78720808447.0
go-pgx,orm-loop,1656052317,True,20,1220,819840,819840,0,38245438.00981997,38178816.0,0.07218462353213308,0.06435490470006185,36433844271.0,857591209.3964818,941064192.0,0.724168493270699,0.9376360700801974,79333844092.0
go-pgx,orm-loop,1656053155,True,20,1220,819840,819840,0,37162256.50247934,37273600.0,0.07268312484245008,0.06386736771159875,36435369632.0,855664098.127544,938868736.0,0.7239136709552032,0.9380141077447336,79237721882.0
go-pgx,orm-loop,1656053987,True,20,1220,819840,819840,0,38586062.12987013,38744064.0,0.07188555150207168,0.06423500863054933,37333783973.0,858038760.4119241,946083840.0,0.7250956604168757,0.9386889844196021,76210523554.0
go-pgx,orm-loop,1656054822,True,20,1220,819840,819840,0,38897289.20261438,39079936.0,0.07220755497805148,0.06407746538813094,36689402140.0,851314160.7371274,938491904.0,0.7263051517105433,0.9382888862827592,76310770811.0
go-pgx,orm-loop,1656055656,True,20,1220,819840,819840,0,35825341.69180328,35831808.0,0.07229185842124329,0.0634641196475597,36641080747.0,854053900.5387756,948457472.0,0.7245243613507379,0.9381530957275542,74912753888.0
go-pgx,orm-loop,1656056490,True,20,1221,820512,820512,0,37008501.50819672,37134336.0,0.072456279557635,0.06384372328203824,36721144180.0,858054103.2334683,948191232.0,0.719739633001881,0.9367810561370716,76419895321.0
go-pgx,orm-loop,1656057331,True,20,1220,819840,819840,0,32461580.50814332,32434176.0,0.07242900893372134,0.0639476101227402,36894323225.0,849775690.9268292,939286528.0,0.7219380944952846,0.937932914990192,75370816736.0
